CID,CanonicalSMILES,XLogP,ExactMass,TPSA,HBondDonorCount,HBondAcceptorCount
65488227,CCCC(CN(C)C(C)CC1=CC=CC=C1OC)O,3.3,265.204179104,32.7,1,3
85304407,CC1(OC2C(C(OC2O1)C(=O)N=[N+]=[N-])OCOC)C,1.1,273.09608521,77.6,0,7
96950432,CCCCC1=NN=C(O1)C(C2=CC=CC=C2[N+](=O)[O-])N,1.9,276.12224039,111.0,1,6
28423221,CC(C1=CC=CC=C1)NC(C)C2=CC(=CC=C2)OC,3.6,255.162314293,21.3,1,2
5242892,CC1=CC=CC(N1)C(=O)O,1.3,139.06332853,49.3,2,3
70632311,C=CC1=CC=CC=C1.C1=CC(=O)C=CC1=O,,212.083729621,34.1,0,2
107850280,CC(CC1CCCCCN1)NCCC2=CC(=CC=C2)OC,3.4,290.235813585,33.3,2,3
43796270,CCC1=CC=C(C=C1)C(=O)C(C)N2CCC(CC2)OC,3.3,275.18852904,29.5,0,3
21046963,CC1=CC(=C(C(=C1)C)CC2=CC=C(O2)C(=O)NC3=CC=CC=C3CCO)C,4.8,363.18344366,62.5,2,3
87058899,CCCCCC(CCCCC)(C(CO)O)OCCCCC,5.1,302.28209507,49.7,2,3
104609462,CC1CCC2=CN=C(N=C12)NC3=CC=CC=C3,3.1,225.126597491,37.8,1,3
19785473,C1CN2CCC1C(C2)OC3=CC=CC(=C3)C(=O)N,1.4,246.136827821,55.6,1,3
82329001,CCCCOCCCN(CC(C)C)CC(C)C(=O)O,0.8,273.23039385,49.8,1,4
12032490,CC(=C)C#CC1=CC=C(C=C1)C(=O)C,3.5,184.088815002,17.1,0,1
94192049,CC(C)(C)C1=CC(=C(C(=C1)O)O)CN2CC3CCC2C3,3.7,275.18852904,43.7,2,3
105449931,CC(CO)(C1=CC=C(C=C1)OC)OC,1.1,196.109944368,38.7,1,3
62065421,C1CC(OC=C1)CNC2=CC3=C(C=C2)C4=CC=CC=C4C3,4.5,277.14666423,21.3,1,2
81735241,CNC1=C(C(=NC=N1)NCC2CCC2)OC,2.1,222.14806121,59.1,2,5
63587577,CCN1CCN(CC1C)CC(COCC)O,0.5,230.199428076,35.9,1,4
115534068,CCNC(CCC#C)C1=CC=CC=C1OCC,3.0,231.162314293,21.3,1,2
4578643,CCCCCCCCC1CCCN1,4.3,183.198699802,12.0,1,1
81092810,CCOC(CCN1CCNCC1C(=O)O)OCC,-2.1,260.17360725,71.0,2,6
64174369,C1CC2(CC(=O)C=CO2)COC1,0.2,168.078644241,35.5,0,3
