SMILES,Known_TPSA,Predicted_TPSA
CC(C)CCN(C)C1=CC=C(O1)C(=O)C,33.5, 5.65.
C1CC2=NC3=NC(=NN3C=C2C(=O)C1)CC(=O)O,97.5,633.0
CN1CCN(C2=NC3=CC=CC=C3N=C21)C(=O)C4=CC=C(C=C4)OC5=CC=CC=C5,58.6,6.0
CN(C)C1=NC(=NC(=N1)N)COC2=CC=CC=C2OC,86.4,6.0
CC1(CC1)CC2=NN=C(N2N)N,82.8,12.0
CC1C(CCO1)CNC2=CC(=CC(=C2)OC(C)C)[N+](=O)[O-],76.3,354.4326536738823
CCN(CC)CCCCC1CCCCN1C=O,23.6,0.0
CCC1C(=O)NC2=C(OC=C2N1C)C(=O)O,82.8,632.0
COC1=C(C=C(C=C1)CN(CCN2CCCC2)C(=O)C=CC3=CC=CC=C3)OCC4=CC=CC=C4,42.0,0.0
CC=CCCCC=CCCCC=CCO,20.2,540.0
CCCCC([N+](C)(CCCO)CC(=O)O)O,77.8, 0.75.
C1CNCC12CCN(CC2)C(=O)C3=COC(=N3)C4=CC=CC=C4,58.4,6.0
COC1(CN2CCC1CC2)C#CC(C3=CC=CC=C3)(C4=CC=CC=C4)OC,21.7,6.0
COC1C(CC(C(O1)(CO)C2=CC=CC=C2)O)N=[N+]=[N-],73.3,6.0
CN(C1CCCCC1)C(=O)C(=CC2=CC=C(C=C2)OC)C3=CC=CC=C3,29.5,6.0
CCCCCC(C1=CC=CC=C1)ON,35.3,8.0
C1=CC=C2C3C4=CC=CC=C4C(C2=C1)C5=C3C=C(C(=C5)CO)CO,40.5,5.0
C1C2=C(CO1)C=C(C=C2)C3=NC(=CO3)C(=O)O,72.6,633.0
CCC1=CN=C(O1)CN2CC3(CCCC3)NCC2C,41.3,11.0
CC(CC(=O)CCC(=O)C)OCC=C,43.4,550.0
CCCN(C1=CC=CNC1=C(N)N=O)C(C)C,70.7,6328.0
CC(=C1C2C(C2(C)C)CC1=O)N3CCN(CC3)C4=CC=CC=C4,23.6,12.0
CCCC=CCC=CCCCCCCCCO,20.2,6534.0
